"Percent Requests Encrypted","Owner","Owner Country","Owner Lineage"
"100.0","Acxiom","US","Acxiom "
"100.0","AdForm","DK","AdForm "
"100.0","AddThis","US","AddThis > Oracle "
"100.0","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"100.0","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems "
"100.0","Adobe Systems","US","Adobe Systems "
"100.0","Alexa","US","Alexa > Amazon "
"100.0","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"100.0","Amobee","US","Amobee > Singtel "
"100.0","Amplitude","US","Amplitude "
"100.0","Aol","US","Aol > Oath > Verizon "
"100.0","Automattic","US","Automattic "
"100.0","Beeswax","US","Beeswax "
"100.0","Bidswitch","UK","Bidswitch > IPONWEB "
"100.0","Blue Kai","US","Blue Kai > Oracle "
"100.0","Chartbeat","US","Chartbeat "
"100.0","Cloudflare","US","Cloudflare "
"100.0","Conversant Media","US","Conversant Media "
"100.0","Criteo","FR","Criteo "
"100.0","Cxense","NO","Cxense "
"100.0","DataXu","US","DataXu "
"100.0","Disqus","US","Disqus > Zeta Global "
"100.0","Dotomi","US","Dotomi > Conversant Media "
"100.0","DoubleClick","US","DoubleClick > Google > Alphabet "
"100.0","Dynadmic","FR","Dynadmic "
"100.0","Eyeview","US","Eyeview "
"100.0","Facebook","US","Facebook "
"100.0","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"100.0","Gravatar","US","Gravatar > Automattic "
"100.0","Hotjar","MT","Hotjar "
"100.0","IPONWEB","UK","IPONWEB "
"100.0","Index Exchange","CA","Index Exchange "
"100.0","Innovid","US","Innovid "
"100.0","Krux Digital","US","Krux Digital > Salesforce "
"100.0","LiveRamp","US","LiveRamp > Acxiom "
"100.0","Loopme","UK","Loopme "
"100.0","Mailchimp","US","Mailchimp "
"100.0","Marimedia","IL","Marimedia "
"100.0","Media Math","US","Media Math "
"100.0","Microsoft","US","Microsoft "
"100.0","Moat","US","Moat > Oracle "
"100.0","Narratiive","AU","Narratiive "
"100.0","New Relic","US","New Relic "
"100.0","Nielsen Online","US","Nielsen Online "
"100.0","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"100.0","Oath","US","Oath > Verizon "
"100.0","OpenX","US","OpenX "
"100.0","Optimizely","US","Optimizely "
"100.0","Oracle","US","Oracle "
"100.0","Outbrain","US","Outbrain "
"100.0","Prospect One","US","Prospect One "
"100.0","PulsePoint","US","PulsePoint "
"100.0","Quantcast","US","Quantcast "
"100.0","Rocketfuel","US","Rocketfuel > Sizmek > Vector Capital "
"100.0","Rubicon Project","US","Rubicon Project "
"100.0","Salesforce","US","Salesforce "
"100.0","ScorecardResearch","US","ScorecardResearch > comScore "
"100.0","Share This","US","Share This "
"100.0","Singtel","SG","Singtel "
"100.0","Sizmek","US","Sizmek > Vector Capital "
"100.0","Smart AdServer","FR","Smart AdServer "
"100.0","Spot X Change","US","Spot X Change "
"100.0","StackPath","US","StackPath "
"100.0","Taboola","US","Taboola "
"100.0","Taptica","US","Taptica > Marimedia "
"100.0","The Trade Desk","US","The Trade Desk "
"100.0","Tremor Video","US","Tremor Video > Taptica > Marimedia "
"100.0","Turn","US","Turn > Amobee > Singtel "
"100.0","Twitter","US","Twitter "
"100.0","Vector Capital","US","Vector Capital "
"100.0","Verizon","US","Verizon "
"100.0","Videology Group","US","Videology Group "
"100.0","Wordpress","US","Wordpress > Automattic "
"100.0","Yahoo","US","Yahoo > Oath > Verizon "
"100.0","Yandex","RU","Yandex "
"100.0","YouTube","US","YouTube > Google > Alphabet "
"100.0","Zeta Global","US","Zeta Global "
"100.0","comScore","US","comScore "
"100.0","exelate","US","exelate > Nielsen Online "
"100.0","jsDelivr","US","jsDelivr > Prospect One "
"99.22","Amazon","US","Amazon "
"97.99","Alphabet","US","Alphabet "
"97.99","Google","US","Google > Alphabet "
"96.55","AdSense","US","AdSense > Google > Alphabet "
"95.45","Google APIs","US","Google APIs > Google > Alphabet "
"93.75","Amazon Web Services","US","Amazon Web Services > Amazon "
"93.22","Google Analytics","US","Google Analytics > Google > Alphabet "
"89.47","PubMatic","US","PubMatic "
"50.0","jQuery Foundation","US","jQuery Foundation "
"0.0","Gumgum","US","Gumgum "
